일시,지역명,시군구,방문자 수
04,강원특별자치도,고성군,1516072
04,강원특별자치도,춘천시,9338547
04,강원특별자치도,원주시,1.01E+07
04,강원특별자치도,강릉시,7981815
04,강원특별자치도,동해시,2975481
04,강원특별자치도,태백시,1416247
04,강원특별자치도,속초시,3860432
04,강원특별자치도,삼척시,2399912
04,강원특별자치도,홍천군,2462179
04,강원특별자치도,횡성군,1610802
04,강원특별자치도,영월군,1127645
04,강원특별자치도,평창군,1978130
04,강원특별자치도,정선군,1391408
04,강원특별자치도,철원군,1328189
04,강원특별자치도,화천군,857309
04,강원특별자치도,양구군,777376
04,강원특별자치도,인제군,1239969
04,강원특별자치도,양양군,1985948
04,경기도,고양시 덕양구,1.16E+07
04,경기도,고양시 일산동구,9735866
04,경기도,고양시 일산서구,7560688
04,경기도,성남시 수정구,7005233
04,경기도,성남시 중원구,4330493
04,경기도,성남시 분당구,1.80E+07
04,경기도,수원시 장안구,8181225
04,경기도,수원시 권선구,7944185
04,경기도,수원시 팔달구,9189488
04,경기도,수원시 영통구,1.03E+07
04,경기도,안산시 상록구,5744013
04,경기도,의정부시,1.03E+07
04,경기도,안산시 단원구,9893843
04,경기도,안양시 만안구,5788010
04,경기도,부천시,0
04,경기도,광명시,6931151
04,경기도,평택시,1.36E+07
04,경기도,동두천시,2222060
04,경기도,안양시 동안구,8115190
04,경기도,용인시 처인구,8946544
04,경기도,용인시 기흥구,1.18E+07
04,경기도,용인시 수지구,8139836
04,경기도,과천시,4008505
04,경기도,구리시,7521016
04,경기도,남양주시,1.61E+07
04,경기도,오산시,6274216
04,경기도,시흥시,1.09E+07
04,경기도,군포시,6659025
04,경기도,의왕시,4566277
04,경기도,하남시,9884406
04,경기도,파주시,1.09E+07
04,경기도,이천시,7125438
04,경기도,안성시,6498423
04,경기도,김포시,1.26E+07
04,경기도,화성시,2.30E+07
04,경기도,광주시,1.02E+07
04,경기도,양주시,7075027
04,경기도,포천시,4783313
04,경기도,여주시,4629421
04,경기도,연천군,1552114
04,경기도,가평군,3398070
04,경기도,양평군,4873423
04,경기도,부천시 원미구,1.30E+07
04,경기도,부천시 소사구,4461523
04,경기도,부천시 오정구,3690096
04,경상남도,고성군,1732990
04,경상남도,창원시 의창구,6288279
04,경상남도,창원시 성산구,7109565
04,경상남도,창원시 마산합포구,5037928
04,경상남도,창원시 마산회원구,4361436
04,경상남도,창원시 진해구,4196149
04,경상남도,진주시,6739148
04,경상남도,통영시,3528892
04,경상남도,사천시,3081601
04,경상남도,김해시,1.22E+07
04,경상남도,밀양시,3186611
04,경상남도,거제시,8712253
04,경상남도,양산시,8555622
04,경상남도,의령군,912026
04,경상남도,함안군,1923243
04,경상남도,창녕군,2027897
04,경상남도,남해군,1525057
04,경상남도,하동군,1337947
04,경상남도,산청군,1166233
04,경상남도,함양군,1272661
04,경상남도,거창군,1651197
04,경상남도,합천군,1346454
04,경상북도,경주시,9354971
04,경상북도,김천시,3685060
04,경상북도,안동시,4908597
04,경상북도,구미시,8403585
04,경상북도,영주시,2810690
04,경상북도,영천시,2512604
04,경상북도,상주시,2820364
04,경상북도,문경시,1919007
04,경상북도,경산시,5512232
04,경상북도,의성군,1403273
04,경상북도,청송군,811895
04,경상북도,영양군,377877
04,경상북도,영덕군,1504330
04,경상북도,청도군,1436417
04,경상북도,고령군,983909
04,경상북도,성주군,1379021
04,경상북도,칠곡군,3327016
04,경상북도,예천군,1532712
04,경상북도,봉화군,716358
04,경상북도,울진군,1584193
04,경상북도,울릉군,378305
04,경상북도,포항시 남구,6197174
04,경상북도,포항시 북구,7462891
04,광주광역시,남구,3323649
04,광주광역시,동구,4649292
04,광주광역시,북구,1.06E+07
04,광주광역시,광산구,1.04E+07
04,광주광역시,서구,9041227
04,대구광역시,군위군,986638
04,대구광역시,남구,4154689
04,대구광역시,동구,1.05E+07
04,대구광역시,수성구,1.08E+07
04,대구광역시,달서구,1.34E+07
04,대구광역시,달성군,5785043
04,대구광역시,북구,1.12E+07
04,대구광역시,서구,3409739
04,대구광역시,중구,7396221
04,대전광역시,동구,5728240
04,대전광역시,유성구,1.19E+07
04,대전광역시,대덕구,4214070
04,대전광역시,서구,1.26E+07
04,대전광역시,중구,6704031
04,부산광역시,강서구,6002609
04,부산광역시,영도구,3286210
04,부산광역시,부산진구,1.17E+07
04,부산광역시,동래구,6949026
