LDGS_CD,LDGS_NM,LDGS_ZIP_NO,LDGS_ROAD_NM_ADDR
23184,영등포 라이프스타일 F HOTEL,07306,서울 영등포구 경인로108길 8 (영등포동1가)
23192,청주 오창 M+,28118,충청북도 청주시 청원구 오창읍 양청송대길 9-12
23197,강남 렉시,06235,서울특별시 강남구 테헤란로16길 11
23204,대전 유성 시나브로,34185,대전광역시 유성구 온천북로59번길 9
23206,부천(상동) MY HOTEL,14542,경기도 부천시 길주로121번길 18-11(상동)
23207,역삼 벤,06220,서울 강남구 언주로87길 41 (역삼동)
23216,서울대입구 폭스,08737,서울 관악구 관악로 208-4 (봉천동)
23223,양재 호텔 신트라,06733,서울 서초구 서운로1길 6 (서초동)
23224,신촌 림,03779,서울특별시 서대문구 연세로4길 16 (창천동)
23227,부천(송내) 피오르 호텔,14623,경기도 부천시 부일로233번길 43 (상동)
23228,대전 도마 M,35338,대전광역시 서구 도솔5길 5
23229,신천 테레즈 호텔,05557,서울특별시 송파구 올림픽로12길 4-8 (잠실동)
23230,의정부 엘리,11651,경기 의정부시 신흥로222번길 27 (의정부동)
23231,포항 대잠동 에비앙 드라이브인,37760,경상북도 포항시 남구 새천년대로450번길 19-8
23232,양산 북부동 미노스,50619,경상남도 양산시 북안남4길 6 (북부동)
23237,울산 무거동 커플,44602,울산 남구 대학로147번길 26 (무거동)
23238,신촌 바론드호텔,03779,서울 서대문구 연세로2나길 8 (창천동)
23240,포항 대잠동 폰,37761,경상북도 포항시 남구 새천년대로422번길 11-2
23242,천안 썬(SUN),31066,충청남도 천안시 동남구 각원사길 187-20 (썬모텔)
23244,상봉 호텔스타,02163,서울특별시 중랑구 망우로58길 8 (망우동)
23245,안산 테마파크,15361,경기도 안산시 단원구 고잔1길 49 (고잔동)
23269,인천(연안부두) 에이스,22348,인천광역시 중구 연안부두로21번길 12
23271,인천(동암) 홈,21446,인천광역시 부평구 동암광장로8번길 25
23272,신촌 D (디),03779,서울특별시 서대문구 연세로2길 13 (창천동)
23273,부천 필름 37.2,14644,경기도 부천시 부천로2번길 21 (심곡동)
23274,파주 봉일천 지중해,10939,경기도 파주시 조리읍 통일로 132
23280,가산 더 스테이 호텔,08512,서울특별시 금천구 디지털로11길 14 (가산동)
23290,잠실 첼로,05543,서울특별시 송파구 오금로11길 23-19
23291,칠곡 왜관 M7 비즈니스 호텔,39886,경상북도 칠곡군 왜관읍 중앙로1길 13
23293,대구 황금동 프라임,42149,대구광역시 수성구 동대구로25길 25 (황금동)
23295,남양주 골드 호텔,12088,경기 남양주시 별내면 청학로92번길 133
23298,부산 대연동 비지니스 호텔 더 그랑,48496,부산광역시 남구 유엔평화로3번길 33
23299,전주 우아동 호텔 캐슬,55023,전라북도 전주시 덕진구 아중4길 10-4
23312,안산 패션,15632,경기도 안산시 상록구 선진4길 20(사동)
23315,계룡 쏘울 명품 무인텔,32826,충남 계룡시 서금암2길 8-18
23316,상봉 메이,02149,서울 중랑구 망우로52길 28 (상봉동)
23342,칠곡 왜관 텐,39905,경상북도 칠곡군 왜관읍 중앙로 63-1
23346,둔촌 발리 호텔,05404,서울특별시 강동구 풍성로 210 (성내동)
23356,울산 달동 미,44718,울산광역시 남구 왕생로46번길 12 (달동)
23361,인천(부평) 뉴캐슬,21396,인천광역시 부평구 장제로91번길 16 (부평동)
23366,서초 제이에스 (JS) 호텔,06644,서울특별시 서초구 반포대로28길 97 (서초동)
23381,포항 대잠동 윌,37760,경상북도 포항시 남구 새천년대로450번길 4-1 (대잠동)
23384,종로 더 디자이너스,03191,서울특별시 종로구 수표로 89-8
23390,대구 팔공산 그랜드 무인텔,41008,대구 동구 갓바위로 246-5 (능성동)
23397,진주 엠 호텔 (Hotel M),52690,경남 진주시 비봉로 5-4 (본성동)
23402,창동 론스타,01415,서울 도봉구 마들로11길 37 (창동) .
23411,잠실 까사,05544,서울 송파구 올림픽로34길 7 (방이동)
23415,합정 남경호텔,04027,서울특별시 마포구 양화로1길 7 (합정동)
