시도명,검색건수
강원특별자치도 강릉시,5757669
강원특별자치도 고성군,2016892
강원특별자치도 동해시,881356
강원특별자치도 삼척시,1223458
강원특별자치도 속초시,5286966
강원특별자치도 양구군,142197
강원특별자치도 양양군,2438003
강원특별자치도 영월군,612704
강원특별자치도 원주시,3290422
강원특별자치도 인제군,526951
강원특별자치도 정선군,1400952
강원특별자치도 철원군,710271
강원특별자치도 춘천시,3879411
강원특별자치도 태백시,366948
강원특별자치도 평창군,2330683
강원특별자치도 홍천군,1815526
강원특별자치도 화천군,175985
강원특별자치도 횡성군,880678
경상남도 거제시,2269221
경상남도 거창군,317647
경상남도 고성군,376976
경상남도 김해시,3126940
경상남도 남해군,888466
경상남도 밀양시,939091
경상남도 사천시,1004846
경상남도 산청군,341523
경상남도 양산시,2302799
경상남도 의령군,178222
경상남도 진주시,1562861
경상남도 창녕군,377264
경상남도 창원시 마산합포구,1065244
경상남도 창원시 성산구,1680609
경상남도 창원시 의창구,1262193
경상남도 창원시 진해구,1082852
경상남도 통영시,1356445
경상남도 하동군,553057
경상남도 함안군,299728
경상남도 함양군,196409
경상남도 합천군,349320
경상북도 경산시,1158952
경상북도 경주시,5975678
경상북도 고령군,175015
경상북도 구미시,1812362
경상북도 김천시,782887
경상북도 문경시,691038
경상북도 봉화군,137037
경상북도 상주시,417661
경상북도 성주군,173622
경상북도 안동시,1119803
경상북도 영덕군,597860
경상북도 영양군,24263
경상북도 영주시,529533
경상북도 영천시,578265
경상북도 예천군,240255
경상북도 울릉군,89929
경상북도 울진군,735699
경상북도 의성군,162601
경상북도 청도군,709476
경상북도 청송군,217378
경상북도 칠곡군,733051
경상북도 포항시 남구,1544165
경상북도 포항시 북구,2374386
광주광역시 광산구,2101461
광주광역시 남구,542602
광주광역시 동구,814079
광주광역시 북구,1359769
광주광역시 서구,2465397
대구광역시 군위군,350943
대구광역시 남구,711280
대구광역시 달서구,1955281
대구광역시 달성군,1290202
대구광역시 동구,3387808
대구광역시 북구,1779095
대구광역시 서구,499598
대구광역시 수성구,2538939
대구광역시 중구,1508391
대전광역시 대덕구,718474
대전광역시 동구,1695459
대전광역시 서구,2438675
대전광역시 유성구,4393043
대전광역시 중구,1396245
부산광역시 강서구,2723821
부산광역시 금정구,1019668
부산광역시 기장군,4450236
부산광역시 남구,1008833
부산광역시 동구,883784
부산광역시 동래구,1139883
부산광역시 부산진구,1888739
부산광역시 북구,641056
부산광역시 사상구,967700
부산광역시 사하구,814751
부산광역시 서구,402284
부산광역시 수영구,1451412
부산광역시 연제구,464747
부산광역시 영도구,464747
부산광역시 중구,924199
부산광역시 해운대구,5170426
세종특별자치시,2986338
울산광역시 남구,2106316
울산광역시 동구,585466
울산광역시 북구,1045015
울산광역시 울주군,2134635
울산광역시 중구,663305
전라남도 강진군,255760
전라남도 고흥군,367999
전라남도 곡성군,210015
전라남도 광양시,739266
전라남도 구례군,425841
전라남도 나주시,854988
전라남도 담양군,1212670
전라남도 목포군,1680758
전라남도 무안군,545957
전라남도 보성군,331849
전라남도 순천시,2183486
전라남도 신안군,227319
전라남도 여수시,3628982
전라남도 영광군,393052
전라남도 영암군,293399
전라남도 완도군,333358
전라남도 장성군,434174
전라남도 장흥군,180942
전라남도 진도군,376105
전라남도 함평군,236096
전라남도 해남군,390847
전라남도 화순군,527851
전북특별자치도 고창군,532829
전북특별자치도 군산시,2280048
전북특별자치도 김제시,458971
전북특별자치도 남원시,563138
전북특별자치도 무주군,527363
전북특별자치도 부안군,897315
전북특별자치도 순창군,186978
전북특별자치도 완주군,726239
전북특별자치도 익산시,1314194
전북특별자치도 임실군,273912
전북특별자치도 장수군,68004
전북특별자치도 전주시 덕진구,2044161
전북특별자치도 전주시 완산구,2366470
전북특별자치도 정읍시,520213
전북특별자치도 진안군,168887
제주특별자치도 서귀포시,6301314
제주특별자치도 제주시,8720783
충청남도 계룡시,260982
충청남도 공주시,1630607
충청남도 금산군,329054
충청남도 논산시,838973
충청남도 당진시,1792349
충청남도 보령시,1725567
충청남도 부여군,718585
충청남도 서산시,1378204
충청남도 서천군,637234
충청남도 아산시,3570902
충청남도 예산군,1343798
충청남도 천안시 동남구,2979643
충청남도 천안시 서북구,3085559
충청남도 청양군,179617
충청남도 태안군,2397063
충청남도 홍성군,611453
충청북도 괴산군,380250
충청북도 단양군,1116000
충청북도 보은군,334202
충청북도 영동군,212075
충청북도 옥천군,337113
충청북도 음성군,847204
충청북도 제천시,1564147
충청북도 증평군,307681
충청북도 진천군,829146
충청북도 청주시 상당구,1425605
충청북도 청주시 서원구,924361
충청북도 청주시 청원구,1778966
충청북도 청주시 흥덕구,2805154
충청북도 충주시,2265162
