지자체,방문자수
강원특별자치도 강릉시,100420235
강원특별자치도 고성군,21565109
강원특별자치도 동해시,36371996
강원특별자치도 삼척시,28384703
강원특별자치도 속초시,50236736
강원특별자치도 양구군,9244981
강원특별자치도 양양군,26277913
강원특별자치도 영월군,14366878
강원특별자치도 원주시,122883497
강원특별자치도 인제군,17703750
강원특별자치도 정선군,19172754
강원특별자치도 철원군,16868678
강원특별자치도 춘천시,114865585
강원특별자치도 태백시,17792037
강원특별자치도 평창군,29282400
강원특별자치도 홍천군,31617789
강원특별자치도 화천군,10916165
강원특별자치도 횡성군,20528614
경상남도 거제시,107609857
경상남도 거창군,20063957
경상남도 고성군,19920849
경상남도 김해시,151727414
경상남도 남해군,17719659
경상남도 밀양시,38317470
경상남도 사천시,37698346
경상남도 산청군,13242477
경상남도 양산시,107419392
경상남도 의령군,9993533
경상남도 진주시,85943138
경상남도 창녕군,21421555
경상남도 창원시 마산합포구,64134376
경상남도 창원시 마산회원구,56632719
경상남도 창원시 성산구,90104807
경상남도 창원시 의창구,78076454
경상남도 창원시 진해구,51358483
경상남도 통영시,43114023
경상남도 하동군,14793162
경상남도 함안군,24335551
경상남도 함양군,14865089
경상남도 합천군,15453683
경상북도 경산시,85692460
경상북도 경주시,111870565
경상북도 고령군,11688964
경상북도 구미시,102645782
경상북도 김천시,41444585
경상북도 문경시,24438658
경상북도 봉화군,9116409
경상북도 상주시,35025220
경상북도 성주군,16734984
경상북도 안동시,61051215
경상북도 영덕군,19929848
경상북도 영양군,4812136
경상북도 영주시,33671557
경상북도 영천시,31584518
경상북도 예천군,18910522
경상북도 울릉군,4239457
경상북도 울진군,20603222
경상북도 의성군,17631680
경상북도 청도군,18390682
경상북도 청송군,11038049
경상북도 칠곡군,39881427
경상북도 포항시 남구,78113164
경상북도 포항시 북구,94509316
광주광역시 광산구,128628996
광주광역시 남구,49584129
광주광역시 동구,59873785
광주광역시 북구,133498437
광주광역시 서구,113391932
대구광역시 군위군,11280228
대구광역시 남구,53417314
대구광역시 달서구,166008177
대구광역시 달성군,74312368
대구광역시 동구,129388806
대구광역시 북구,143068198
대구광역시 서구,43313553
대구광역시 수성구,136621443
대구광역시 중구,90288411
대전광역시 대덕구,54736835
대전광역시 동구,71627822
대전광역시 서구,156391721
대전광역시 유성구,145039058
대전광역시 중구,83030163
부산광역시 강서구,71014735
부산광역시 금정구,74446620
부산광역시 기장군,77166966
부산광역시 남구,81166363
부산광역시 동구,50230412
부산광역시 동래구,86151422
부산광역시 부산진구,148655789
부산광역시 북구,79104757
부산광역시 사상구,61229958
부산광역시 사하구,75228661
부산광역시 서구,39743451
부산광역시 수영구,72225785
부산광역시 연제구,57115838
부산광역시 영도구,41969372
부산광역시 중구,54731958
부산광역시 해운대구,154876296
세종특별자치시 ,104124223
울산광역시 남구,117938258
울산광역시 동구,45916111
울산광역시 북구,65076875
울산광역시 울주군,81700845
울산광역시 중구,64659283
전라남도 강진군,13987236
전라남도 고흥군,17009005
전라남도 곡성군,10905574
전라남도 광양시,42521465
전라남도 구례군,11606601
전라남도 나주시,43473824
전라남도 담양군,25887733
전라남도 목포시,90636900
전라남도 무안군,35432820
전라남도 보성군,14709737
전라남도 순천시,90580409
전라남도 신안군,13827813
전라남도 여수시,84791843
전라남도 영광군,19540800
전라남도 영암군,23367957
전라남도 완도군,18072205
전라남도 장성군,19052864
전라남도 장흥군,14810556
전라남도 진도군,11154323
전라남도 함평군,11063872
전라남도 해남군,21394129
전라남도 화순군,27688405
전북특별자치도 고창군,21927396
전북특별자치도 군산시,97974385
전북특별자치도 김제시,27910222
전북특별자치도 남원시,29470069
전북특별자치도 무주군,13348683
전북특별자치도 부안군,22292332
전북특별자치도 순창군,9376432
전북특별자치도 완주군,36827889
전북특별자치도 익산시,95186011
전북특별자치도 임실군,12351838
전북특별자치도 장수군,6718085
전북특별자치도 전주시 덕진구,102725887
전북특별자치도 전주시 완산구,116125530
전북특별자치도 정읍시,33520758
전북특별자치도 진안군,8468659
제주특별자치도 서귀포시,99759324
제주특별자치도 제주시,230246766
충청남도 계룡시,14655976
충청남도 공주시,44894734
충청남도 금산군,23941283
충청남도 논산시,42836143
충청남도 당진시,65811764
충청남도 보령시,46242591
충청남도 부여군,29080215
충청남도 서산시,57823935
충청남도 서천군,23998920
충청남도 아산시,102433662
충청남도 예산군,33824919
충청남도 천안시 동남구,93476928
충청남도 천안시 서북구,84140615
충청남도 청양군,10780865
충청남도 태안군,37681835
충청남도 홍성군,32927563
충청북도 괴산군,17471324
충청북도 단양군,15749252
충청북도 보은군,13591350
충청북도 영동군,18167011
충청북도 옥천군,23270128
충청북도 음성군,42091076
충청북도 제천시,39844107
충청북도 증평군,15743729
충청북도 진천군,29797311
충청북도 청주시 상당구,66405031
충청북도 청주시 서원구,61531896
충청북도 청주시 청원구,59982550
충청북도 청주시 흥덕구,84803737
충청북도 충주시,83985509
