순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,인천광역시,중구,인천국제공항제1여객터미널,인천 중구 공항로 272-0,기타관광,교통시설,3646890
2,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,1892097
3,인천광역시,중구,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,기타관광,교통시설,1785880
4,경기도,하남시,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,1755371
5,경기도,광명시,광명역,경기 광명시 광명역로 21-0,기타관광,교통시설,1511231
6,경기도,고양시 덕양구,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,1410297
7,경기도,김포시,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,1032646
8,서울특별시,영등포구,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,977696
9,경기도,용인시 처인구,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,974679
10,경기도,성남시 분당구,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,958882
11,서울특별시,용산구,서울역,서울 용산구 한강대로 405-0,기타관광,교통시설,949849
12,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,910814
13,경기도,남양주시,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,900713
14,강원특별자치도,속초시,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,805541
15,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,727183
16,인천광역시,연수구,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,722305
17,경기도,안성시,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰,695613
18,경기도,여주시,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,680637
19,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,676710
20,경기도,파주시,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,661668
21,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,658292
22,제주특별자치도,제주시,제주국제공항,제주 제주시 공항로 2-0,기타관광,교통시설,656221
23,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,647508
24,충청북도,청주시 흥덕구,오송역,충북 청주시 흥덕구 오송가락로 123-0,기타관광,교통시설,644612
25,경기도,시흥시,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,637517
26,대전광역시,동구,대전역,대전 동구 중앙로 215-0,기타관광,교통시설,629223
27,경기도,의왕시,롯데프리미엄아울렛타임빌라스,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰,628482
